,,difference,absolute_difference,percentage_difference
Scenario2/logNormal.xes,mean_total_eating_duration,0.0,0.0,0.0
Scenario2/logNormal.xes,eating_absence_frequency,0.0,0.0,inf
Scenario2/logNormal.xes,mean_lunch_start_time,0.0,0.0,0.0
Scenario2/logNormal.xes,mean_dinner_start_time,0.0,0.0,0.0
Scenario2/logNormal.xes,mean_duration_Eat,0.0,0.0,0.0
Scenario2/logNormal.xes,mean_duration_Leave,0.0,0.0,0.0
Scenario2/logNormal.xes,mean_duration_Enter,0.0,0.0,0.0
Scenario2/logNormal.xes,mean_duration_Relax,0.0,0.0,0.0
Scenario2/logNormal.xes,median_duration_Eat,0.0,0.0,0.0
Scenario2/logNormal.xes,median_duration_Leave,0.0,0.0,0.0
Scenario2/logNormal.xes,median_duration_Enter,0.0,0.0,0.0
Scenario2/logNormal.xes,median_duration_Relax,0.0,0.0,0.0
Scenario2/logNormal.xes,min_duration_Eat,0.0,0.0,0.0
Scenario2/logNormal.xes,min_duration_Leave,0.0,0.0,0.0
Scenario2/logNormal.xes,min_duration_Enter,0.0,0.0,0.0
Scenario2/logNormal.xes,min_duration_Relax,0.0,0.0,0.0
Scenario2/logNormal.xes,max_duration_Eat,0.0,0.0,0.0
Scenario2/logNormal.xes,max_duration_Leave,0.0,0.0,0.0
Scenario2/logNormal.xes,max_duration_Enter,0.0,0.0,0.0
Scenario2/logNormal.xes,max_duration_Relax,0.0,0.0,0.0
Scenario2/logDelay.xes,mean_total_eating_duration,-45.21722799999952,45.21722799999952,0.8340295586088479
Scenario2/logDelay.xes,eating_absence_frequency,0.0,0.0,inf
Scenario2/logDelay.xes,mean_lunch_start_time,4675.969239,4675.969239,0.0
Scenario2/logDelay.xes,mean_dinner_start_time,5308.765611,5308.765611,0.0
Scenario2/logDelay.xes,mean_duration_Eat,-22.60861399999976,22.60861399999976,0.8340295586088479
Scenario2/logDelay.xes,mean_duration_Leave,5.709000000000003,5.709000000000003,4.865472953970191
Scenario2/logDelay.xes,mean_duration_Enter,-2.3769999999999953,2.3769999999999953,1.9835607293361666
Scenario2/logDelay.xes,mean_duration_Relax,-76.89457599999969,76.89457599999969,1.4107738590856234
Scenario2/logDelay.xes,median_duration_Eat,-40.873499999999694,40.873499999999694,1.4999278907285714
Scenario2/logDelay.xes,median_duration_Leave,8.0,8.0,6.837606837606838
Scenario2/logDelay.xes,median_duration_Enter,-5.0,5.0,4.098360655737705
Scenario2/logDelay.xes,median_duration_Relax,-65.84649999999965,65.84649999999965,1.2046876825251387
Scenario2/logDelay.xes,min_duration_Eat,-1.2889999999999873,1.2889999999999873,0.07155776082498422
Scenario2/logDelay.xes,min_duration_Leave,0.0,0.0,0.0
Scenario2/logDelay.xes,min_duration_Enter,0.0,0.0,0.0
Scenario2/logDelay.xes,min_duration_Relax,2.550000000000182,2.550000000000182,0.07080646621310308
Scenario2/logDelay.xes,max_duration_Eat,1.0519999999996799,1.0519999999996799,0.029236718761932786
Scenario2/logDelay.xes,max_duration_Leave,0.0,0.0,0.0
Scenario2/logDelay.xes,max_duration_Enter,0.0,0.0,0.0
Scenario2/logDelay.xes,max_duration_Relax,7.289999999999964,7.289999999999964,0.10135508551574603
Scenario2/logAbsence.xes,mean_total_eating_duration,-3660.242271,3660.242271,67.51298964376164
Scenario2/logAbsence.xes,eating_absence_frequency,1352.0,1352.0,inf
Scenario2/logAbsence.xes,mean_lunch_start_time,1306388.105532,1306388.105532,0.0
Scenario2/logAbsence.xes,mean_dinner_start_time,345394.994962,345394.994962,0.0
Scenario2/logAbsence.xes,mean_duration_Eat,7.279782987654471,7.279782987654471,0.2685504822171639
Scenario2/logAbsence.xes,mean_duration_Leave,4.7180000000000035,4.7180000000000035,4.02089707423916
Scenario2/logAbsence.xes,mean_duration_Enter,3.537000000000006,3.537000000000006,2.951558392790092
Scenario2/logAbsence.xes,mean_duration_Relax,-42.80879100000129,42.80879100000129,0.7854068053104549
Scenario2/logAbsence.xes,median_duration_Eat,-26.742999999999938,26.742999999999938,0.9813833310520114
Scenario2/logAbsence.xes,median_duration_Leave,8.0,8.0,6.837606837606838
Scenario2/logAbsence.xes,median_duration_Enter,3.0,3.0,2.459016393442623
Scenario2/logAbsence.xes,median_duration_Relax,-59.30799999999908,59.30799999999908,1.0850632467207855
Scenario2/logAbsence.xes,min_duration_Eat,-0.10500000000001819,0.10500000000001819,0.005828987499320961
Scenario2/logAbsence.xes,min_duration_Leave,0.0,0.0,0.0
Scenario2/logAbsence.xes,min_duration_Enter,0.0,0.0,0.0
Scenario2/logAbsence.xes,min_duration_Relax,0.03999999999996362,0.03999999999996362,0.001110689666086802
Scenario2/logAbsence.xes,max_duration_Eat,1.0229999999996835,1.0229999999996835,0.028430763586936397
Scenario2/logAbsence.xes,max_duration_Leave,0.0,0.0,0.0
Scenario2/logAbsence.xes,max_duration_Enter,0.0,0.0,0.0
Scenario2/logAbsence.xes,max_duration_Relax,2.2210000000004584,2.2210000000004584,0.030879237987725586
